"","pays_expat","group_pays_cout"
"102","RUSSIA","G7"
"1237","NETHERLANDS","G7"
"1554","UKRAINE","G7"
"1600","DENMARK","G7"
"2652","ISRAEL","G7"
"7688","HONG KONG","G7"
"7779","GREECE","G7"
"10448","FINLAND","G7"
"13100","CAYMAN ISLANDS","G7"
"48","BRAZIL","G8"
"802","USA","G8"
"843","GERMANY","G8"
"845","AUSTRIA","G8"
"2815","TURKEY","G8"
"10522","MONACO","G8"
"30864","PARAGUAY","G8"
"717","SPAIN","G9"
"993","MALTA","G9"
"3507","SWITZERLAND","G9"
"32196","ESTONIA","G9"
"52","UNITED KINGDOM","G10"
"5531","FAEROE ISLANDS","G10"
"10880","ZIMBABWE","G10"
"12740","THE BAHAMAS","G10"
"93530","Bosnia and Herzegovina","G10"
