"","pays_expat","group_pays_cout"
"194407","SOUTH SUDAN","G2"
"234105","BELARUS","G2"
"309625","GUINEA-BISSAU","G2"
"7","KAZAKHSTAN","G3"
"9","QATAR","G3"
"14","UNITED ARAB EMIRATES","G3"
"17","MEXICO","G3"
"26","INDONESIA","G3"
"37","UNITED KINGDOM","G3"
"69","ANGOLA","G3"
"79","FRANCE","G3"
"82","NIGERIA","G3"
"104","MOROCCO","G3"
"139","RUSSIA","G3"
"203","SPAIN","G3"
"252","IRAN","G3"
"1001","INCONNU","G3"
"1009","PERU","G3"
"1092","AUSTRIA","G3"
"1099","SOUTH AFRICA","G3"
"1100","BOLIVIA","G3"
"1212","URUGUAY","G3"
"1245","MYANMAR","G3"
"1262","NETHERLANDS","G3"
"1391","SRI LANKA","G3"
"1513","BAHRAIN","G3"
"1804","BELGIUM","G3"
"1824","PORTUGAL","G3"
"1981","IRELAND","G3"
"2069","TURKEY","G3"
"2093","MOZAMBIQUE","G3"
"2245","UKRAINE","G3"
"2717","IVORY COAST","G3"
"3285","CHAD","G3"
"10991","BULGARIA","G3"
"12804","PANAMA","G3"
"13086","SENEGAL","G3"
"13726","SYRIA","G3"
"14579","FINLAND","G3"
"14777","AFGHANISTAN","G3"
"14912","MAURITANIA","G3"
"15455","KENYA","G3"
"15799","DOMINICAN REPUBLIC","G3"
"16301","HAITI","G3"
"18795","NAMIBIA","G3"
"21038","BENIN","G3"
"28601","CUBA","G3"
"31425","LIBERIA","G3"
"31641","Central African Republic","G3"
"32694","NICARAGUA","G3"
"36398","MAYOTTE","G3"
"39222","CAMBODIA","G3"
"51340","UZBEKISTAN","G3"
"77661","AMERICAN SAMOA","G3"
"80509","HONDURAS","G3"
"83243","SIERRA LEONE","G3"
"117617","PUERTO RICO","G3"
"29","CHINA","G4"
"32","BRAZIL","G4"
"36","COLOMBIA","G4"
"46","VENEZUELA","G4"
"53","THAILAND","G4"
"80","CONGO","G4"
"510","SINGAPORE","G4"
"642","GABON","G4"
"907","JAPAN","G4"
"1090","GERMANY","G4"
"1217","MALTA","G4"
"1501","SLOVAKIA","G4"
"1504","AZERBAIJAN","G4"
"1587","CHILE","G4"
"2667","COSTA RICA","G4"
"10780","HONG KONG","G4"
"11107","SOUTH KOREA","G4"
"14591","LUXEMBOURG","G4"
"15295","NIGER","G4"
"15784","NEW CALEDONIA","G4"
