"","pays_expat","group_pays_cout"
"57821","SEYCHELLES","G4"
"80695","ANTIGUA AND BARBUDA","G4"
"1","YEMEN","G5"
"10","MEXICO","G5"
"17","USA","G5"
"19","COLOMBIA","G5"
"30","ECUADOR","G5"
"67","KUWAIT","G5"
"245","SINGAPORE","G5"
"442","PAKISTAN","G5"
"474","INCONNU","G5"
"495","AUSTRIA","G5"
"511","JORDAN","G5"
"520","AZERBAIJAN","G5"
"575","TRINIDAD AND TOBAGO","G5"
"586","MYANMAR","G5"
"601","POLAND","G5"
"701","EQUATORIAL GUINEA","G5"
"834","PORTUGAL","G5"
"1063","NEW ZEALAND","G5"
"3861","CHAD","G5"
"5900","SENEGAL","G5"
"6699","GUINEA","G5"
"8556","KENYA","G5"
"10128","MONGOLIA","G5"
"13351","THE GAMBIA","G5"
"13548","ALBANIA","G5"
"21605","PARAGUAY","G5"
"32405","GUERNSEY","G5"
"34589","LAOS","G5"
"6","UNITED ARAB EMIRATES","G6"
"7","KAZAKHSTAN","G6"
"8","SAUDI ARABIA","G6"
"15","GHANA","G6"
"26","THAILAND","G6"
"29","QATAR","G6"
"55","INDONESIA","G6"
"80","CANADA","G6"
"81","EGYPT","G6"
"140","TURKMENISTAN","G6"
"428","MALI","G6"
"569","TUNISIA","G6"
"1353","CHILE","G6"
"1698","ISRAEL","G6"
"2282","NAMIBIA","G6"
"4382","UKRAINE","G6"
"4598","HONG KONG","G6"
"4628","GREECE","G6"
"5649","SOUTH KOREA","G6"
"5820","FINLAND","G6"
"5882","LUXEMBOURG","G6"
"5902","VANUATU","G6"
"10177","ZAMBIA","G6"
"12036","NETHERLANDS ANTILLES","G6"
"13466","BENIN","G6"
"20913","UGANDA","G6"
"30293","TURKS & CAICOS","G6"
"16","CHINA","G7"
"20","ITALY","G7"
"39","UNITED KINGDOM","G7"
"44","NIGERIA","G7"
"68","LIBYA","G7"
"438","SPAIN","G7"
"440","JAPAN","G7"
"580","SUDAN","G7"
"768","MOROCCO","G7"
"1349","IRAN","G7"
"6108","NIGER","G7"
"28246","SURINAME","G7"
"77237","EL SALVADOR","G7"
"11","CAMEROON","G8"
"34","ALGERIA","G8"
"65","ANGOLA","G8"
"123","AUSTRALIA","G8"
"426","ROMANIA","G8"
"527","GABON","G8"
"619","FAEROE ISLANDS","G8"
"1550","HUNGARY","G8"
"5852","MONACO","G8"
"6169","NEW CALEDONIA","G8"
"6391","BURKINA FASO","G8"
"9278","SERBIA","G8"
"15534","UZBEKISTAN","G8"
"41101","HONDURAS","G8"
"25","VENEZUELA","G9"
"35","RUSSIA","G9"
"36","BRAZIL","G9"
"43","CONGO","G9"
"133","NORWAY","G9"
"636","SOUTH AFRICA","G9"
"704","SLOVAKIA","G9"
"940","TURKEY","G9"
"1141","IRELAND","G9"
"4750","CZECH REPUBLIC","G9"
"4771","CYPRUS","G9"
"5080","SWEDEN","G9"
"6791","FRENCH POLYNESIA","G9"
"7007","MAURITANIA","G9"
"7786","BARBADOS","G9"
"9422","MALAWI","G9"
"10536","TOGO","G9"
"23162","LESOTHO","G9"
"24510","SAO TOME & PRINC.","G9"
"35259","CAPE VERDE","G9"
"33","FRANCE","G10"
"518","NETHERLANDS","G10"
"596","DENMARK","G10"
"677","BR. VIRGIN ISLAND","G10"
"797","GERMANY","G10"
"1117","BELGIUM","G10"
"2007","IVORY COAST","G10"
"2175","SWITZERLAND","G10"
"4706","TAIWAN","G10"
"6449","ZIMBABWE","G10"
"7614","WALLIS AND FUTUNA","G10"
"8091","ETHIOPIA","G10"
"8251","HAITI","G10"
"9544","GUADELOUPE","G10"
"10551","LIBERIA","G10"
"10609","Central African Republic","G10"
"22686","AMERICAN SAMOA","G10"
"30225","BOTSWANA","G10"
"35909","SOUTH SUDAN","G10"
"64931","Bosnia and Herzegovina","G10"
"4675","BULGARIA","G11"
"5876","AFGHANISTAN","G11"
"5914","REUNION","G11"
"7660","DOMINICAN REPUBLIC","G11"
"35074","MACAU","G11"
"43501","MOLDOVA","G11"
"10175","BERMUDA","G12"
"69407","ESTONIA","G12"
"83157","ARUBA","G12"
