"","pays_expat","group_pays_cout"
"943","NEW ZEALAND","G7"
"1080","IRELAND","G7"
"1094","BOLIVIA","G7"
"1200","CHILE","G7"
"1241","LEBANON","G7"
"1377","PORTUGAL","G7"
"8155","GREECE","G7"
"8166","SYRIA","G7"
"8219","LUXEMBOURG","G7"
"10605","BAHRAIN","G7"
"10826","MACAU","G7"
"10872","AFGHANISTAN","G7"
"11374","TANZANIA","G7"
"15064","THE BAHAMAS","G7"
"15340","SLOVENIA","G7"
"16058","ETHIOPIA","G7"
"28179","GIBRALTAR","G7"
"49066","AMERICAN SAMOA","G7"
"2","UNITED ARAB EMIRATES","G8"
"6","QATAR","G8"
"26","AUSTRALIA","G8"
"31","NORWAY","G8"
"108","KUWAIT","G8"
"110","RUSSIA","G8"
"706","SPAIN","G8"
"1037","DENMARK","G8"
"1372","ISRAEL","G8"
"1560","MOZAMBIQUE","G8"
"1597","IRAQ","G8"
"8186","HONG KONG","G8"
"10725","FINLAND","G8"
"17143","ANDORRA","G8"
"28487","ESTONIA","G8"
"101046","THE GAMBIA","G8"
"29","BRAZIL","G9"
"145","SWEDEN","G9"
"1553","TURKEY","G9"
"1663","AUSTRIA","G9"
"12365","MONACO","G9"
"21512","JERSEY","G9"
"38866","ARMENIA","G9"
"73182","PUERTO RICO","G9"
"933","GERMANY","G10"
"11113","ZIMBABWE","G10"
"41158","BERMUDA","G10"
"121","ITALY","G11"
"833","SWITZERLAND","G11"
"905","MALTA","G11"
"12403","ICELAND","G11"
"48166","MOLDOVA","G11"
"48653","Bosnia and Herzegovina","G11"
