"","pays_expat","nb_assure","autres_protheses.csv","auxiliaires_medicaux.csv","bilan_de_sante.csv","chambre_particuliere.csv","consultation.csv","cures_thermales.csv","divers.csv","fiv.csv","hospitalisation_sauf_chambre_particuliere.csv","implants_dentaires.csv","keratotomie.csv","lentilles.csv","maternite_sauf_fiv.csv","medecine_alternative.csv","montures.csv","orthodontie.csv","paradontologie.csv","petit_risque.csv","pharmacie.csv","prothese_dentaire.csv","psychiatrie.csv","soins_dentaires.csv","vaccination.csv","verres.csv","X","autres_protheses","auxiliaires_medicaux","bilan_de_sante","chambre_particuliere","consultation","cures_thermales","divers","fiv","hospitalisation_sauf_chambre_particuliere","implants_dentaires","keratotomie","lentilles","maternite_sauf_fiv","medecine_alternative","montures","orthodontie","paradontologie","petit_risque","pharmacie","prothese_dentaire","psychiatrie","soins_dentaires","vaccination","verres","sum"
"123","MAYOTTE",99,0,7,1,12,74,0,0,0,35,0,0,0,0,0,6,0,0,28,75,0,0,7,6,9,123,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,13
"124","MEXICO",24669,1274,10860,1550,273,47860,0,52,159,16453,141,123,1578,7423,937,2693,2357,8,132647,81103,2262,4617,15160,4149,415,124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"125","MOLDOVA",100,0,17,0,0,63,0,0,0,0,0,0,1,1,0,5,0,1,30,119,2,0,47,1,0,125,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,13
"126","MONACO",533,117,1316,8,156,1332,0,5,0,481,3,0,28,28,52,45,7,0,1181,1387,42,39,236,35,45,126,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"127","MONGOLIA",282,9,14,0,0,327,0,0,0,31,0,0,2,0,7,44,1,0,209,175,14,0,59,9,4,127,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,10
"128","MONTENEGRO",43,4,26,0,0,103,0,0,0,7,0,0,0,7,0,0,2,0,81,102,0,0,12,5,0,128,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,14
"129","MOROCCO",10436,773,9880,73,433,22580,21,152,84,3794,77,22,475,846,650,1292,533,11,15747,22777,1199,1128,5327,1336,1594,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","MOZAMBIQUE",740,4,118,33,11,699,0,8,0,141,2,0,19,114,12,44,1,0,500,736,57,17,295,58,50,130,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"131","MYANMAR",680,14,140,49,84,930,0,6,2,267,1,6,35,145,20,75,1,0,967,728,44,28,286,102,22,131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"132","NAMIBIA",405,23,232,9,41,888,0,6,0,340,14,2,5,31,45,82,1,0,500,1024,51,78,341,46,40,132,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"133","NEPAL",149,4,3,5,0,67,0,2,0,22,2,0,0,0,0,2,0,0,91,109,5,0,26,8,4,133,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,10
"134","NETHERLANDS",6514,216,3138,159,93,7672,1,18,6,1257,44,13,357,403,786,761,475,22,5031,12438,370,386,4454,487,355,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","NETHERLANDS ANTILLES",85,2,28,1,3,113,0,0,0,11,0,0,0,0,9,11,4,0,58,117,0,0,13,8,4,135,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,10
"136","NEW CALEDONIA",1877,107,1582,37,44,2813,0,4,0,527,16,12,118,50,124,238,84,1,2379,2874,223,93,997,96,275,136,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"137","NEW ZEALAND",2955,45,317,59,25,2255,0,11,2,456,2,8,130,152,136,131,96,0,764,1387,131,119,962,117,8,137,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"138","NICARAGUA",111,16,242,2,0,125,4,0,0,56,0,0,0,5,0,5,0,0,174,303,3,0,19,5,4,138,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,10
"139","NIGER",2072,160,672,13,108,2778,0,1,0,654,12,0,21,52,113,443,37,0,2185,2264,166,12358,883,86,110,139,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"140","NIGERIA",12317,518,3708,1483,377,14742,0,124,8,3854,71,8,586,1474,372,1200,303,3,9918,18372,756,336,4664,1384,647,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
